회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본정상영업이익률,매출액정상영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,상장년수,PER,PBR,PCR,PSR,쭈피처,영업레버리지,재무레버리지,영업투자현금비율,영업재무현금비율,도입기,성숙기,성장기,쇠퇴기,부실판단
(주)엠플러스,259630,2019,-16.0,-47.0,-11.0,-15.0,120.0,42.0,241.0,209.0,23.0,12.0,4.0,74.0,29.0,4.82,1.53,1.92,2.16,1.93,2.62,1.37,0.4599999999999999,38.43228852322599,0.0,0.0,0.0,0.0,0.0,10166.0,7.0,51.0,10.0,20.0,30.0,0.7345355637766474,4.03,3.0,4.0,1.0,1.0,3.0,1.0,21.0,7.0,44.74358974358975,2158.349745648856,-5745.887553618474,860.8825632221052,0.1176192998580162,5.4778502487623975,3.5107600577015545,8.011373902901358,-1.673346585920931,1,0,0,0,1.0
(주)CMG제약,58820,2022,19.0,79.0,2.0,6.0,617.0,520.0,15.0,12.0,3.0,53.0,20.0,63.0,87.0,-0.21,-0.24,-0.47,2.4,1.45,3.63,-2.37,-1.94,7.072078214313208,7.07,7.64,6.1,18.31,22.79,15933.0,7.0,107.0,19.0,-2.0,-4.0,0.3854321723600449,4.04,1.0,2.0,1.0,0.0,1.0,1.0,23.0,23.0,-716.6666666666666,1614.5631613520873,60479.04823242296,3632.9408019060456,0.4613291829998049,13.71889544361098,-2.375430743599897,-0.4543208999575726,0.8772956930059409,0,0,1,0,0.0
(주)상보,27580,2016,-3.0,-4.0,-2.0,-2.0,99.0,76.0,214.0,178.0,48.0,-1.0,32.0,56.0,32.0,-37.51,-12.03,-13.35,-6.2,-6.27,-7.13,1.89,-28.43,-4.565264962082042,-4.57,4.62,-14.15,-15.09,-6.8,5800.0,3.0,9.0,4.0,-349.0,-218.0,0.9001642685028024,4.79,2.0,2.0,1.0,1.0,2.0,2.0,35.0,17.0,-4.672131147540983,1876.5053322445144,53956.37746414953,663.1104760412666,0.1355992238167504,-0.8130113765983494,0.571978370840383,-0.3294076983348065,0.2192260316712143,0,0,1,0,1.0
(주)천보,278280,2022,6.0,7.0,3.0,8.0,296.0,238.0,107.0,38.0,42.0,36.0,44.0,54.0,48.0,11.9,8.8,13.03,10.34,9.23,17.17,1.25,-3.469999999999999,88.61100512859203,88.61090000000007,93.04,114.31,21.09,130.55,71829.0,9.0,43.0,22.0,60.0,82.0,0.4017059369621076,5.65,1.0,1.0,1.0,1.0,1.0,1.0,17.0,5.0,-3358.4615384615386,5528.815626056907,33292.72678062214,6638.104370249074,0.0662734257174375,1.1497640167585694,1.5653472896935967,-0.1752371972337453,0.1919216864153047,0,0,1,0,0.0
(주)토박스코리아,215480,2022,44.0,347.0,10.0,8.0,359.0,208.0,28.0,27.0,3.0,55.0,24.0,76.0,78.0,13.7,11.49,8.11,13.32,12.48,9.74,-0.58,0.6899999999999995,8.385431409186797,8.39,5.81,17.35,41.8,32.65,4609.0,11.0,288.0,9.0,88.73999999999995,0.0,1.2321423675568026,14.9,3.0,18.0,1.0,1.0,6.0,2.0,9.0,9.0,13.021806853582554,1233.345456725939,19233.549048743665,784.4674921484486,0.4876228923719025,6.108310512939108,1.0170179838512357,-0.4224365083247853,-1.3884335575401874,0,1,0,0,0.0
(주)케이사인,192250,2022,15.0,21.0,8.0,25.0,267.0,267.0,100.0,28.0,36.0,23.0,67.0,37.0,50.0,7.33,5.74,13.6,8.93,8.3,21.22,0.31,-1.4900000000000002,70.25071639874739,70.25,-7.08,236.72,15.84,374.20540000000165,16328.0,12.0,25.0,38.0,36.0,64.0,0.3104704127727257,7.59,1.0,1.0,0.0,0.0,1.0,1.0,11.0,10.0,34.56521739130435,1614.0161421581802,11082.886104407498,2601.876402273053,0.7918505086461123,4.712443038143194,1.0667713207223877,-0.126592352244264,0.2106918834969275,0,0,1,0,0.0
(주)로보로보,215100,2022,35.0,952.0,2.0,6.0,765.0,574.0,7.0,7.0,0.0,43.0,102.0,50.0,93.0,-1.18,-1.8,-2.95,1.29,-0.58,-1.53,-4.94,3.1800000000000006,1.0410963170370189,1.04,-9.92,14.82,55.69,-8.97,1208.0,4.0,45.0,10.0,-29.0,-66.0,0.3746445271326603,10.06,1.0,4.0,1.0,0.0,1.0,1.0,9.0,9.0,-415.625,4580.601596459798,170823.80006185736,11406.595587246064,0.4034466563190397,-12.663964816099796,0.3401640110537317,-0.2652806503812376,5.184568260804116,0,0,1,0,0.0
(주)옵티팜,153710,2020,-8.0,-13.0,-1.0,-4.0,465.0,452.0,22.0,16.0,11.0,49.0,285.0,62.0,82.0,-6.78,-5.83,-18.03,-7.53,-8.32,-26.47,-1.66,-4.94,-0.9550622624026536,-0.96,-8.41,14.3,-4.45,1.08,2894.0,7.0,22.0,22.0,-81.0,-54.0,0.315719462185746,13.27,1.0,1.0,0.0,0.0,1.0,0.0,24.0,6.0,-93.25153374233128,6513.136029609739,-136101.76007284765,16864.496689906235,0.5337012049958554,-1.016071615749859,1.468162912024378,0.4085829194907714,-1.4621726667770176,1,0,0,0,1.0
(주)바이오톡스텍,86040,2015,-7.0,-10.0,-3.0,-9.0,71.0,67.0,92.0,81.0,31.0,-12.0,30.0,30.0,52.0,-16.06,-9.41,-22.25,-7.69,-7.94,-22.19,2.32,2.0600000000000023,-5.136605220410013,-5.14,-24.05,6.11,10.53,-3.43,6889.0,15.0,33.0,41.0,-54.0,-37.0,0.3674932889127971,4.42,1.0,1.0,0.0,0.0,1.0,1.0,24.0,17.0,-20.072992700729927,3363.6995995315665,-99389.64457490938,4756.99443083979,0.3639044009244669,-0.8240112079004456,0.8073250916034631,1.2783765213505605,1.30444822874924,0,0,0,1,1.0
(주)국전약품,307750,2022,-6.0,-10.0,-3.0,-6.0,202.0,174.0,112.0,77.0,30.0,37.0,30.0,73.0,47.0,9.77,5.0,8.56,2.32,1.79,3.38,0.74,2.77,83.28754650866726,0.0,0.0,0.0,0.0,0.0,24947.0,13.0,77.0,24.0,36.0,53.0,0.5288741053724312,4.73,1.0,2.0,1.0,1.0,2.0,1.0,6.84,6.0,37.40112994350282,3518.4937970133115,-53966.03447069974,3132.1566614047283,0.1536458782508737,5.561271407968143,0.3164937944957491,0.0785470764863512,-0.0707325055199959,1,0,0,0,0.0
(주)윈스,136540,2022,76.0,490.0,11.0,22.0,539.0,501.0,17.0,15.0,2.0,56.0,62.0,68.0,86.0,11.64,12.03,18.97,12.07,11.14,21.67,-1.61,0.0300000000000011,8.866259571428566,8.87,17.21,-5.62,5.18,6.83,61550.0,30.0,232.0,61.0,31.0,42.0,0.4932817610656615,5.4,1.0,4.0,1.0,1.0,2.0,1.0,13.0,13.0,8.311518324607329,997.8185648217324,8238.630488876495,1736.0290480611711,0.2635714231535784,2.296577336428698,0.9407974497797618,-0.8681631299443823,-4.367388643325548,0,1,0,0,0.0
와이엠티(주),251370,2022,19.0,30.0,7.0,14.0,144.0,120.0,64.0,52.0,25.0,14.0,67.0,46.0,61.0,-0.04,1.19,1.99,1.88,1.35,2.55,0.98,-9.17,0.6726515898505058,0.67,-16.56,22.11,3.98,15.52,33779.0,14.0,36.0,26.0,8.0,37.0,0.5266664612178025,5.41,1.0,1.0,1.0,1.0,1.0,1.0,25.0,7.0,-51.291512915129154,1498.1667583023586,16808.915792517404,1736.8151251610875,0.1786469122760834,9.317125190891424,0.9747788852190687,-0.4409590644100584,13.982924417616404,0,0,1,0,0.0
(주)리더스코스메틱,16100,2020,-15.0,-21.0,-8.0,-12.0,65.0,50.0,114.0,91.0,37.0,-15.0,31.0,27.0,47.0,20.69799999999999,11.221499999999992,9.966999999999977,-8.15,-8.36,-12.47,3.11,75.50249999999998,10.28874830566488,10.29,-25.8,35.16,-2.0,-27.37,5844.0,4.0,13.0,6.0,49.09999999999985,-201.0,0.6393439347326575,10.08,3.0,2.0,1.0,1.0,1.0,2.0,38.0,21.0,-11.758064516129032,968.4064438926504,-12697.027654619584,707.3567075841519,0.5264651785826031,-1.8486370499200584,0.5386324387798133,0.1929683449529815,-0.1609887447158712,1,0,0,0,1.0
(주)팬젠,222110,2018,-17.0,-19.0,-7.0,-55.0,177.0,174.0,69.0,65.0,35.0,29.0,40.0,68.0,59.0,-15.9,-12.0,-81.52,-6.18,-7.5,-53.59,-0.32,5.159999999999998,28.14350994960144,28.14,72.39,-16.66,139.36,1.14,1252.0,3.0,18.0,22.0,-370.0,-50.0,0.1245232813572688,10.82,0.0,1.0,0.0,0.0,0.0,0.0,14.0,8.0,-21.82952182952183,3757.821149173087,-18044.695684349947,17825.375021722975,0.6270175514585777,-0.1700561810489254,2.093478174141885,0.3891481156099386,-0.3087457493702164,1,0,0,0,1.0
비유테크놀러지,230980,2019,7.0,24.0,5.0,12.0,75.0,56.0,207.0,204.0,20.0,-16.0,47.0,50.0,33.0,-71.91,-31.74,-88.5,-2.81,-2.83,-10.01,7.18,-66.49,-43.03571318330685,-43.04,-49.33,-34.96,-65.21,-66.22,-4134.0,-12.0,-94.0,-32.0,0.0,0.0,0.3898743314436744,6.09,1.0,1.0,0.0,0.0,1.0,1.0,9.75,8.0,-8.122392211404728,6908.760761958599,-56477.39816613142,5765.148644804295,0.2571458816748533,-1.4717503108268684,0.136726975737324,-3.7045562549501856,-0.3050211382143586,0,0,0,1,1.0
(주)메디안디노스틱,233250,2022,24.58,73.0,4.0,4.0,449.0,331.0,19.0,18.0,5.0,53.0,128.0,68.0,84.0,1.6,1.44,1.31,1.44,1.14,1.06,-0.22,-10.3,11.138209065030614,11.14,15.49,2.92,74.19,1.84,6094.0,25.0,90.0,25.0,5.0,13.0,1.0205197705713152,9.05,2.0,4.0,1.0,1.0,3.0,2.0,25.0,7.0,147.70408163265307,2468132.348921214,-27299147.26418178,1974127.8270417699,0.2916227107184431,21.83288877705017,0.8521508673841605,2.044280060933205,-2.305769766504445,1,0,0,0,0.0
(주)노바텍,285490,2022,201.13999999999982,9962.0,23.0,30.0,1167.0,1110.0,10.0,7.0,0.0,69.0,418.0,75.0,91.0,13.51,10.62,12.91,19.14,18.57,23.96,-0.72,-29.46,4.387260135227223,4.39,-4.54,46.57,22.09,97.42,41644.0,29.0,189.0,38.0,34.0,55.0,0.7588773471480932,16.6,1.0,5.0,1.0,1.0,4.0,1.0,17.0,6.0,24.698795180722893,1631.8123126032976,4962.32546506866,1962.132925461976,0.6194747855009883,1.699215118633577,1.2376255339533877,-1.2490351877414747,-3.2351365318281777,0,1,0,0,0.0
켄코아에어로스페이스(주),274090,2022,-7.0,-13.0,-5.0,-8.0,92.0,40.0,240.0,183.0,37.0,-4.0,12.0,50.0,29.0,10.18,2.92,4.28,6.82,6.76,10.463999999999997,5.27,72.74000000000001,21.699909201170087,21.7,27.19,16.75,38.72,-0.81,29931.0,23.0,88.0,39.0,11.0,43.0,0.5846424323516884,6.78,3.0,2.0,1.0,1.0,1.0,1.0,11.0,4.0,198.3606557377049,3884.7883498507103,-38601.75571759526,1953.6798689511616,0.0769804432332121,1.8922572430382527,1.9168652802359456,0.2954156757569504,-0.5645698595117197,1,0,0,0,1.0
(주)육일씨엔에쓰,191410,2020,-7.0,-10.0,-6.0,-5.0,49.0,30.0,361.0,346.0,57.0,-38.0,9.0,37.0,22.0,-81.21,-27.64,-28.16,-20.77,-20.87,-22.54,2.25,-61.94,-17.981975687202436,-17.98,0.44,-25.95,24.14,-14.98,1708.0,2.0,4.0,2.0,-1260.0,-596.0,1.0276512018267585,9.59,5.25,2.0,1.0,1.0,1.0,3.0,17.0,9.0,-0.9082652134423252,2180.774731309211,-6638.847328702503,460.0345002860112,0.5518907155827463,0.423050820781263,0.9634386378825648,-0.843966491385231,-3.8859280167715378,0,0,0,1,1.0
(주)썸에이지,208640,2018,-50.0,-53.0,-37.7,-143.7,116.0,116.0,352.0,350.0,62.54999999999998,12.0,24.0,89.39999999999998,22.0,-151.21,-94.01,-286.015,-62.3485,-63.854000000000006,-172.728,-3.782,-123.72,46.25265862385784,46.25,56.52,-6.2,-0.01,27.12,-12252.0,-30.0,-2561.0,-231.25,0.0,0.0,0.08752678972567246,6.0,0.0,8.0,0.0,0.0,1.0,0.0,10.0,10.0,-3.510324483775811,9984.325357503356,-3881.710623803341,25537.18986439383,2.7953099567698043,-0.1342111747509346,0.9080323248749566,2.676426211530003,-0.6489326698661573,1,0,0,0,1.0
조광아이엘아이(주),44060,2022,15.0,20.0,3.0,12.0,117.0,65.0,27.0,26.0,16.0,3.0,23.0,24.0,79.0,-17.17,-26.5745,-43.747499999999995,2.38,2.29,9.14,3.1,-19.62,-6.126952064440678,-6.127199999999999,-29.37,-0.81,-2.36,12.35,-5466.0,-5.0,-24.0,-18.0,0.0,0.0,0.2641872320748277,4.85,1.0,1.0,1.0,0.0,0.0,1.0,30.0,23.0,-11.75,1228.11214326273,19655.28623230444,3661.509693964924,0.2624716476708245,3.871270300961114,-0.1547844481562492,-1.668602857694333,4.219948309743355,0,0,1,0,0.0
알에프머트리얼즈(주),327260,2022,10.0,15.0,4.0,8.0,242.0,205.0,82.0,48.0,29.0,38.0,100.0,64.0,55.0,8.6,4.52,7.06,4.14,3.27,5.42,0.95,11.41,34.533056028238235,34.53,39.21,26.94,33.55,20.16,20256.0,21.0,75.0,40.0,18.0,30.0,0.525919857041263,8.3,1.0,2.0,1.0,1.0,2.0,1.0,17.0,5.0,29.197080291970803,1861.80961729026,21400.80745479441,1950.1977033063472,0.202982217750724,4.5276072789310735,0.9039915983059053,-0.3103492976224989,0.1993578363666305,0,0,1,0,0.0
(주)에스아이리소스,65420,2014,17.0,26.0,8.400000000000006,9.0,120.0,101.0,128.0,81.0,38.0,7.0,23.0,43.0,44.0,-59.03,-47.33,-43.36,3.33,3.0,3.41,2.66,-59.66,-25.214053651814865,-25.212,23.19,-37.096,-2.47,-46.102,-5706.0,-16.0,-84.0,-15.0,0.0,0.0,1.0597695315790847,12.13,4.0,3.0,1.0,1.0,1.0,3.0,37.0,22.0,-4.343434343434343,3353.117668149253,10628.15716679766,1388.8097048091506,0.0795848466763631,9.809052599064511,-0.0718900929119653,-2.0888090556512275,8.7395177593761,0,0,1,0,1.0
(주)이스트소프트,47560,2014,2.0,3.0,1.0,2.0,79.0,79.0,186.0,111.0,36.0,-8.0,30.0,31.0,35.0,-6.26,-2.96,-4.73,-1.85,-2.09,-3.76,2.66,7.130000000000001,-1.5418870796096458,-1.54,9.84,-5.87,17.36,-5.26,26820.0,35.0,66.0,63.0,-8.0,8.0,0.5600650994757407,8.56,2.0,1.0,1.0,1.0,1.0,2.0,31.0,16.0,373.125,4074.4958822875215,103659.44361479435,2545.600492117449,0.4237117944097193,-9.380638406160518,0.77114786041511,0.2096507980934662,-0.8194042546345917,0,0,0,1,1.0
(주)케이씨에스,115500,2022,11.0,91.0,6.0,6.0,139.0,109.0,114.0,112.0,7.0,21.0,45.0,73.0,47.0,4.27,2.35,1.99,1.99,1.51,1.31,-0.25,-8.63,18.587251452083933,18.59,19.74,15.55,5.41,2.09,5719.0,15.0,80.0,14.0,15.0,24.0,1.0677666914584445,7.37,2.0,6.0,1.0,1.0,4.0,2.0,22.0,14.0,75.94202898550725,3439.598586591922,19079.0475768578,1508.3370162215313,0.0788593038199498,7.032205918241152,0.5466339952537518,-12.784231125799558,-1.154679346634126,0,1,0,0,0.0
(주)어스앤에어로스페이스,263540,2019,-6.0,-10.0,-5.0,-9.0,84.0,50.0,1202.3499999999967,817.2499999999987,57.0,-10.0,10.0,52.0,7.0,-155.51,-62.24,-125.79,-32.75,-32.8,-70.05,2.97,-150.42999999999998,-40.553169995827005,-40.55,-37.33,-43.65,-15.64,-36.87,-13002.0,-31.0,-66.0,-49.0,0.0,0.0,0.6279212690110705,1.96,2.0,1.0,0.0,0.0,1.0,1.0,22.0,7.0,-1.7796610169491525,19308.543886436124,-116127.8837400625,2215.927194464267,0.1464912434744459,0.7908873566840654,0.6053195814650104,0.3362836660133197,-0.18454012835132,1,0,0,0,1.0
(주)네패스아크,330860,2022,39.0,44.0,17.0,52.0,178.0,176.0,79.0,23.0,40.0,10.0,131.0,23.0,56.0,11.23,6.83,16.7,5.43,5.15,14.64,1.78,-2.8599999999999994,9.682163062392378,9.68,7.28,10.42,34.72,8.21,126466.0,28.0,42.0,82.0,20.0,82.0,0.335964773297273,12.2,2.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,8.534850640113797,855.2258159132293,2462.756437643247,1425.3938151595785,0.04974282742459386,1.2907802920088731,0.915317910550002,-0.5387571875014974,1.1969531888619995,0,0,1,0,0.0
(주)네이처셀,7390,2016,-3.0,-7.0,-1.0,-2.0,154.0,105.0,55.0,34.0,16.0,12.0,30.0,34.0,65.0,-9.81,-9.67,-12.03,-6.35,-7.36,-13.55,-0.16,-3.9300000000000006,14.56801546965191,14.57,-9.71,32.6,-12.33,15.79,4927.0,9.0,46.0,18.0,-65.0,-31.0,0.5086288607654927,8.03,2.0,3.0,1.0,1.0,1.0,1.0,53.0,32.0,-72.734375,6952.658196820486,-110293.53107832032,8829.311114472514,0.2823561963936747,-1.083668596149629,1.12613148667841,0.4396731089707841,-0.4476868450730453,1,0,0,0,1.0
(주)이지,37370,2022,-5.0,-6.0,-3.0,-8.0,183.0,164.0,205.0,41.0,55.0,11.0,60.0,24.0,33.0,-3.74,-12.64,-16.06,-5.6,-5.71,-12.2,5.12,-12.43,5.8635445459687325,5.86,2.34,7.06,-26.65,3.71,15559.0,10.0,21.0,22.0,-72.0,-34.0,0.4553460505846356,7.5,2.0,1.0,1.0,0.0,1.0,2.0,37.0,24.0,1135.0357142857115,1261.2219038072565,-6079.840621449843,909.3265722813252,0.2767563468241222,-1.1430949173307825,0.8260049302899297,0.7054990256336607,-0.4855677400312966,1,0,0,0,0.0
(주)티라유텍,322180,2022,-7.0,-12.0,-3.0,-3.0,125.0,115.0,101.0,65.0,28.0,8.0,58.0,41.0,50.0,-26.19,-19.58,-13.0,-11.86,-11.92,-11.87,0.98,12.099999999999998,16.140734477287346,0.0,0.0,0.0,0.0,0.0,14717.0,39.19999999999993,391.0,41.0,-32.0,-21.0,1.00399769975,7.74,3.0,5.0,2.0,1.0,2.0,2.0,18.0,5.0,-12.693726937269371,2117.728740158297,-31727.175082362603,1051.111820944574,0.1824250802507977,-1.0323261273339754,0.8178264782853057,0.5200729552419765,-0.1292042169689805,1,0,0,0,1.0
(주)그린플러스,186230,2022,8.0,10.0,4.0,5.0,156.0,124.0,75.0,51.0,35.0,16.0,45.0,46.0,57.0,-4.46,-3.76,-4.24,3.62,3.46,4.33,1.7,4.170000000000001,4.244663682543359,4.24,-22.01,45.5,-0.28,50.28,11708.0,11.0,29.0,14.0,-30.0,18.0,0.7832747681079876,5.02,2.0,2.0,1.0,1.0,2.0,2.0,27.0,5.0,-37.05035971223022,2010.9003015022213,14165.326273356242,1470.995848897313,0.0688098256221895,2.7489549148195804,-1.91659526397681,-0.3888808910842624,1.623300050112211,0,0,1,0,0.0
(주)에이치케이,44780,2022,10.0,16.0,3.0,3.0,206.0,119.0,46.0,45.0,19.0,32.0,18.0,63.0,69.0,7.46,5.0,5.25,6.89,6.69,7.14,0.35,-2.920000000000001,-1.584161022100554,-1.58,-4.34,3.51,13.37,1.99,16749.0,19.0,56.0,21.0,26.0,41.0,0.9438979198891632,4.98,2.0,3.0,1.0,1.0,3.0,1.0,34.0,24.0,7.971311475409836,608.854430010174,-39600.40192029256,442.29983213161125,0.1246662914830932,3.258891022203375,1.12478515139918,-0.571296757226974,0.2866055715862785,0,0,0,1,0.0
(주)셀바스에이아이,108860,2020,6.0,8.0,3.0,7.0,172.0,152.0,85.0,46.0,32.0,18.0,56.0,43.0,54.0,12.3,5.65,12.31,-1.41,-1.65,-4.4,2.91,34.71,-2.7512763197713337,-2.75,-4.47,-1.43,-1.77,-10.83,24251.0,26.0,101.0,70.0,18.0,35.0,0.380040943920021,6.54,1.0,1.0,0.0,0.0,1.0,1.0,25.0,15.0,21.796875,1244.2051574067134,124758.6606750047,1768.7582010395406,0.9641025456563783,-22.73809520697281,-0.3667025207119425,-0.201511455415211,-0.14603029465531314,0,1,0,0,1.0
