회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,부실판단,도입기,성숙기,성장기,쇠퇴기
주식회사스마트카라,93060,2022,7.17,13.1,4.05,1.16,155.42,99.83,129.44,110.87,30.9,26.78,74.33,75.11,43.58,-22.78,-11.52,-3.21,-13.02,-13.06,-3.76,0.17,0.0,0.0,-0.97,-12.88,68.55,-20.12,63.81,1425.97,11.02,83.28,3.16,-101.7,-70.9,0.0,35.99,7.11,21.98,3.59,3.47,17.6,4.33,15.0,0.0,1,0,0,0
주식회사스타일쉐어,89160,2020,-41.63,-93.08,-15.59,-40.28,224.59,216.62,59.86,59.86,16.75,46.65,55.63,84.1,62.55,-62.36,-46.65,-71.28,-36.52,-37.91,-71.49,-2.28,0.0,0.0,117.75,190.02,-6.06,-3.21,-15.6,-2759.28,-7.11,-575.9,-18.37,0.0,0.0,0.0,36.97,0.71,28.7,0.65,0.53,2.36,0.68,13.0,0.0,1,0,0,0
주식회사스틸서쳐코리아,80652,2019,-0.2,-0.39,-0.11,-0.02,175.96,147.98,115.7,113.51,28.11,39.97,29.3,92.6,46.36,24.26,6.74,2.3,-4.42,-4.43,-1.51,0.0,0.0,0.0,-49.41,-51.48,8.45,-52.25,-50.88,1072.1,18.8,2666.17,4.32,53.36,63.46,0.0,7.03,3.83,406.71,2.92,2.92,61.18,3.07,8.0,0.0,1,0,0,0
주식회사승달,99936,2022,3.53,3.55,3.52,22.91,69.97,69.97,29612.990962927663,600.62,96.02248048606918,-0.55,46.95,1.29,0.31,137.11,0.45,1.63,5.07,4.97,30.37,28.39,0.0,0.0,13.81,-87.31,27.06,0.0,27.24,4361.83,6.69,6.78,43.53,3.74,0.0,0.0,0.0,4.65,0.17,0.28,0.16,0.17,2.68,4.0,0.0,1,0,0,0
주식회사시앤유,94979,2022,-3.58,-4.0,-2.99,-2.4,79.19,79.19,511.37,511.37,74.82,-17.41,20.42,66.24,16.36,26.81,5.69,4.2,10.11,10.02,7.64,1.84,0.0,0.0,10.77,17.48,-0.39,7.24,-1.75,3997.64,13.24,44.94,10.61,39.55,74.09,0.0,3.69,2.04,4.2,1.35,1.31,3.69,2.04,5.0,0.0,1,0,0,0
주식회사시코텍,98558,2022,-0.52,-0.62,-0.14,-0.05,318.99,227.32,36.42,35.34,22.39,56.73,8.55,82.64,73.3,13.68,9.86,3.42,13.31,12.96,4.5,0.07,0.0,0.0,10.14,12.18,1.36,16.54,2.7,3441.83,13.59,82.89,4.95,69.06,96.24,0.0,6.04,5.0,16.99,2.89,2.88,15.94,3.52,11.0,0.0,1,0,0,0
주식회사시티팰리스,77696,2022,-17.8,-25.09,-15.13,-65.35,207.57,78.42,566.31,138.18,60.32,22.31,15.77,43.05,15.01,1.21,0.2,0.84,2.75,2.64,11.06,10.24,0.0,0.0,6.4,-15.5,32.33,542.81,37.59,1844.36,4.02,7.16,17.38,4.82,79.15,0.0,42.43,1.61,0.48,0.24,0.24,0.46,0.49,15.0,0.0,1,0,0,0
주식회사시호비전,70024,2018,0.25,0.84,0.21,0.22,96.92,74.22,467.09,460.89,24.72,-2.5,0.02,78.77,17.63,-4.49,-0.73,-0.85,3.38,3.38,3.92,0.29,0.0,0.0,-17.74,-3.49,-46.86,-9.45,-15.04,1332.08,16.07,3239.26,16.82,-5.04,16.31,0.0,2.3,1.58,176.94,0.86,0.86,3.12,1.19,30.0,0.0,1,0,0,0
주식회사식의,69716,2020,27.36,31.72,6.82,34.55,208.91,208.65,33.22,27.9,21.51,22.81,2.33,43.76,75.06,26.76,27.2,89.7,-3.19,-3.54,-16.92,0.69,0.0,0.0,12.73,44.97,-3.9,-86.52,-37.74,3652.45,32.95,257.06,166.84,53.77,63.06,0.0,7.69,0.54,1.18,0.3,0.21,0.34,0.53,14.0,0.0,1,0,0,0
주식회사신광식품,77723,2022,2.12,2.97,1.4,1.16,113.62,51.39,192.85,168.23,47.07,7.82,4.25,65.27,34.15,14.86,5.07,3.92,7.12,7.09,5.7,1.55,0.0,0.0,6.37,8.87,1.96,18.5,-0.13,2837.21,17.04,58.59,14.13,27.72,56.25,0.0,4.87,3.97,3.97,1.29,1.24,3.51,1.93,15.0,0.0,1,0,0,0
주식회사신기석유,93981,2022,-5.86,-6.99,-4.52,-0.28,164.83,150.43,336.69,183.1,64.65,27.18,48.46,69.11,22.9,7.67,1.78,0.11,4.36,3.91,0.23,0.12,0.0,0.0,10.27,16.88,-2.1,93.22,-2.43,766.97,9.51,32.67,0.6,17.78,62.78,0.0,98.17,27.27,53.95,16.75,16.67,50.92,24.79,22.0,0.0,1,0,0,0
주식회사신라,69887,2022,6.98,7.07,5.01,457.48,126.34,126.34,253.53,3.23,70.8,0.24,4.49,1.16,28.29,1.81,0.65,41.41,0.6,0.6,43.14,-0.18,0.0,0.0,72.84,299.67,71.7,169.64,71.56,746.06,0.64,0.72,58.37,70.95,91.6,0.0,8.16,1.62,0.01,0.02,0.01,0.01,1.52,11.0,0.0,1,0,0,0
주식회사신명써비스,93078,2022,-1.77,0.0,-1.22,-0.36,167.45,167.45,222.63,134.46,0.0,28.11,88.11,69.79,31.0,14.49,4.15,1.19,4.47,3.93,1.17,-0.16,0.0,0.0,-0.63,-1.54,1.55,2.09,-29.19,11472.44,302.6016084796244,20317.83,91.5,1.3,8.26,0.0,10.63,4.77,184.11,3.48,3.35,11.19,4.77,22.0,0.0,1,0,0,0
주식회사신아주택,41118,2019,-2.71,-203.44,-0.96,-44.62,2465.64,2222.29,55.06,1.28,0.47,19.58,58.47,20.41,64.49,-4.8,-3.75,-147.12,-3.52,-3.8,-172.3,-12.79,0.0,0.0,4.39,28.42,-0.39,-17.03,-0.41,300.26,1.58,2.47,73.17,-201.07,-74.46,0.0,21.51,0.13,0.03,0.03,0.02,0.03,0.12,23.0,0.0,1,0,0,0
주식회사신영하이테크,26396,2022,-0.15,-0.21,-0.1,-0.11,174.75,170.83,215.02,134.22,48.38,31.85,12.26,74.45,31.74,1.69,0.56,0.58,2.65,2.63,2.75,2.17,0.0,0.0,9.04,14.98,-5.22,21.34,-5.67,5680.26,7.69,31.61,8.4,6.92,61.06,0.0,1.55,1.34,3.65,0.96,0.96,3.49,1.32,36.0,0.0,1,0,0,0
주식회사신우,82728,2022,4.26,4.84,2.02,4.04,38.63,7.59,90.74,61.19,41.8,-19.69,0.16,12.39,52.43,-17.86,-10.41,-20.52,-8.99,-9.05,-18.06,2.25,0.0,0.0,0.11,-18.14,3.37,-38.68,3.81,-342.35,-0.78,-0.91,-1.56,0.0,0.0,0.0,26.23,11.97,0.6,0.51,0.5,0.58,3.64,14.0,0.0,1,0,0,0
주식회사신우종합토건,38792,2022,-36.48,-41.91,-34.08,-158.87,111.35,111.31,1422.3,1280.6,81.33,9.55,1.14,93.67,6.57,-123.99,-23.69,-99.85,-19.92,-19.93,-89.0,7.97,0.0,0.0,9.16,10.56,-8.05,-79.86,-52.44,-6165.16,-16.47,-4515.09,-76.78,0.0,0.0,0.0,0.27,0.24,37.91,0.24,0.22,3.25,0.24,23.0,0.0,1,0,0,0
주식회사신원오토모티브,98586,2022,0.39,0.48,0.34,1.64,18.33,15.72,676.29,343.98,71.81,-36.19,0.1,8.12,12.88,-23.58,-3.09,-14.24,-1.32,-1.33,-6.13,11.2,0.0,0.0,7.73,279.11,1.32,51.3,0.09,1001.62,5.44,6.27,26.04,-54.67,34.22,0.0,5.54,4.98,0.24,0.22,0.22,0.23,4.07,6.0,0.0,1,0,0,0
주식회사심우식품,96249,2022,-15.74,-18.21,-12.96,-8.26,73.62,18.01,465.01,435.96,71.14,-20.35,0.79,56.8,17.7,-47.14,-8.35,-5.35,-6.2,-6.33,-4.06,2.31,0.0,0.0,-1.13,-14.37,24.09,-28.94,21.96,-249.85,-2.02,-4.87,-1.29,0.0,0.0,0.0,12.19,9.63,4.17,1.56,1.56,4.02,2.55,26.0,0.0,1,0,0,0
주식회사쎌트로이,99039,2022,-48.12,0.0,-28.78,-35.05,29.37,29.37,148.82,148.82,0.0,-42.24,3.01,17.57,40.19,-178.8,-47.1,-85.97,-43.5467255632085,-43.71183186975432,-101.83,-0.05,0.0,0.0,-50.84,-90.17,232.67,156.91,1602.7,382.21,55.05,129.23,67.04,-128.22,-69.16,0.0,27.81,0.84,3.64,0.55,0.54,1.53,0.84,20.0,0.0,1,0,0,0
주식회사씨맥,66884,2022,-8.74,-9.64,-7.77,-5.08,117.54,84.27,795.4,536.63,80.54,10.51,15.65,70.44,11.17,18.09,2.98,1.27,6.92,6.68,3.3,1.57,0.0,0.0,95.89,150.99,28.61,23.81,24.43,3290.45,11.56,40.87,7.57,16.78,70.34,0.0,18.05,4.36,5.99,2.35,2.02,5.82,3.1,25.0,0.0,1,0,0,0
주식회사씨앤브이,82868,2018,30.04,35.52,22.43,6.44,134.71,116.8,294.76,290.88,63.13,25.57,18.32,99.26,25.33,16.02,2.14,1.08,18.87,18.85,9.5,0.71,0.0,0.0,-60.18,-60.22,-54.3,24.25,491.7,1004.67,26.57,3584.38,7.63,14.14,48.56,0.0,0.0,3.39,804.07,1.98,1.98,294.81,2.0,9.0,0.0,1,0,0,0
주식회사씨에스실업,59049,2022,-2.63,-2.76,-2.3,-87.13,78.87,78.87,694.54,666.03,83.32,-17.72,0.81,66.11,12.59,0.08,0.01,0.38,4.34,-0.94,-24.09,-19.44,0.0,0.0,185.39,1425.7329671777309,-0.24,9.36,-0.24,503.19,1.05,3.09,39.73,0.96,-1.26,0.0,364.13,0.08,0.08,0.04,0.04,0.08,0.08,16.0,0.0,1,0,0,0
주식회사씨엔에프에스,87827,2022,-10.88,-16.54,-6.62,-5.79,92.91,84.18,155.53,149.1,40.04,-4.13,3.62,54.22,39.13,-0.63,-0.23,-0.22,0.96,0.62,0.58,0.93,0.0,0.0,-13.21,-14.57,-11.54,-52.18,-9.52,1924.09,11.91,26.68,10.4,-2.08,49.75,0.0,3.49,2.24,2.44,1.08,1.06,2.35,1.95,12.0,0.0,1,0,0,0
주식회사씨엘,90695,2022,-2.68,-2.78,-2.04,-53.39,22.89,3.26,317.47,158.37,73.47,-29.25,2.2,8.68,23.95,-34.51,-8.6,-115.96,-1.65,-1.66,-37.74,71.61,0.0,0.0,35.58,5.16,39.41,-71.03,18.97,294.68,1.51,3.23,39.58,-292.97,-7.28,0.0,0.0,3.74,0.09,0.07,0.04,0.05,0.45,5.0,0.0,1,0,0,0
주식회사씨이에스,51485,2022,-1.29,-2.14,-1.0,-0.84,136.17,136.17,345.03,272.8,46.98,22.17,15.13,83.47,22.47,5.61,1.28,1.06,3.75,3.21,2.83,1.03,0.0,0.0,-10.51,-9.76,-14.13,-20.32,-16.73,1710.96,9.75,113.61,8.14,13.07,54.62,0.0,2.23,1.36,12.69,1.21,1.13,6.7,1.36,25.0,0.0,1,0,0,0
주식회사씨티씨백,89492,2022,-17.45,-21.76,-13.45,-42.84,18.45,5.07,336.01,317.22,61.8,-59.33,2.08,13.43,22.94,-67.1,-21.6,-74.41,-15.33,-15.33,-52.94,16.23,0.0,0.0,-14.33,24.03,-18.25,32.45,-18.25,-1506.31,-7.06,-8.26,-22.5,0.0,0.0,0.0,23.49,6.64,0.33,0.29,0.29,0.33,2.59,5.0,0.0,1,0,0,0
주식회사아라드네트웍스,85324,2022,-31.41,-45.77,-25.81,-16.85,231.29,224.21,460.35,234.0,56.39,54.83,14.49,96.59,17.85,0.0,-5.09,-2.03,1.36,1.27,0.51,1.13,0.0,0.0,305.7567174026198,537.38,-53.2,139.77,-73.72,968.62,13.75,2935.79,8.98,-22.64,19.46,0.0,3.51,3.01,136.1,2.5,2.5,28.61,2.74,12.0,0.0,1,0,0,0
주식회사아람북스,97233,2022,3.9,8.0,2.66,2.45,61.93,17.45,215.38,209.21,33.3,-25.25,1.06,41.08,31.71,-38.11,-14.77,-13.72,-14.35,-14.73,-13.69,0.33,0.0,0.0,-2.2,-19.95,15.7,-32.79,38.7,-139.7,-0.88,-1.88,-0.81,0.0,0.0,0.0,10.29,5.86,2.7,1.08,1.08,1.98,2.35,17.0,0.0,1,0,0,0
주식회사아로마뱅크,99333,2022,5.97,6.71,4.45,15.02,31.87,20.87,293.27,212.32,66.38,-36.78,8.56,17.2,25.43,5.54,1.43,4.62,3.79,3.71,12.03,6.25,0.0,0.0,8.44,-11.61,13.8,9.42,13.8,2577.1,7.55,9.12,25.47,18.16,69.28,0.0,4.99,2.12,0.38,0.31,0.31,0.38,1.62,18.0,0.0,1,0,0,0
주식회사아모센스,69838,2020,-1.5,-2.05,-1.17,-1.58,95.38,71.51,351.11,252.89,57.07,-2.59,47.25,53.47,22.17,-98.75,-27.89,-38.42,-15.84,-16.0,-23.44,1.88,0.0,0.0,-14.11,-21.07,-4.42,-29.69,-0.43,-9892.4,-16.76,-53.52,-22.68,0.0,0.0,0.0,5.54,1.67,2.31,0.73,0.68,1.55,1.22,16.0,0.0,1,0,0,0
주식회사아세아스틸,49976,2014,1.62,2.88,1.2,1.21,60.55,22.91,281.88,267.58,41.6,-27.64,0.48,42.43,26.19,0.71,0.2,0.19,2.26,2.25,2.31,2.09,0.0,0.0,-3.57,-9.53,1.35,-12.72,0.99,2747.34,4.01,7.0,4.05,4.62,86.01,0.0,6.7,6.39,1.74,1.07,0.97,1.73,2.22,21.0,0.0,1,0,0,0
주식회사아이가코리아,75727,2017,-21.53,-35.17,-20.67,-27.3,98.27,48.62,2385.48,1872.45,58.76,-1.31,5.85,74.03,4.02,-125.14,-13.01,-10.78,-14.53,-14.55,-12.31,0.92,0.0,0.0,256.62,632.39,44.82,-26.04,368.86,87.53,2.39,42.68,3.16,-340.98,-272.5,0.0,7.28,3.44,15.34,1.21,1.18,3.45,1.8,10.0,0.0,1,0,0,0
주식회사아이디개발,86928,2021,89.68,97.46,78.71,434.68,209.41,86.8,717.73,389.82,80.76,52.16,0.05,99.83,12.23,-68.68,-8.84,-71.42,-3.49,-6.79,-62.14,9.23,0.0,0.0,-56.82,-48.1,-97.81609850097344,-96.6,-45.1,-274.57,-7.5,-10544.932607219813,-41.44,0.0,0.0,0.0,0.4,0.22,1106.22,0.12,0.11,0.92,0.12,7.0,0.0,1,0,0,0
주식회사아이린냉장,15443,2022,-2.7,-2.8,-1.46,-13.05,55.95,55.95,117.73,115.64,52.09,-23.39,0.17,29.72,45.93,0.83,0.4,3.4,2.94,1.76,15.48,12.18,0.0,0.0,3.31,15.78,-1.19,60.45,-1.82,2397.48,7.0,10.42,62.63,5.42,49.55,0.0,7.25,0.4,0.16,0.12,0.11,0.16,0.4,32.0,0.0,1,0,0,0
주식회사아이엠테크,99133,2022,12.14,14.76,8.07,3.63,85.22,85.22,198.57,137.72,54.69,-6.82,32.72,39.31,33.49,52.97,25.25,7.55,9.21,6.86,3.69,-0.73,0.0,0.0,-28.25,-39.48,-18.45,-51.99,16.75,886.7,30.31,333.36,13.63,55.38,62.16,0.0,20.57,4.26,26.34,3.34,1.86,3.29,4.26,16.0,0.0,1,0,0,0
주식회사아이유제지,92145,2022,-12.49,-17.38,-4.68,-3.39,234.79,193.14,60.02,47.02,26.95,39.61,29.25,69.0,62.49,-0.23,-0.16,-0.11,-0.7,-1.42,-1.0,-0.11,0.0,0.0,6.64,3.11,15.43,46.81,-8.8,1522.56,8.28,34.03,5.99,-1.75,27.41,0.0,6.49,2.36,5.42,1.48,1.43,4.77,2.03,6.0,0.0,1,0,0,0
주식회사아카데미코스메틱,73621,2016,26.5,168.99,22.35,14.33,87.28,87.28,539.29,511.22,13.23,-10.17,70.85,69.79,15.64,55.55,6.63,4.36,7.39,7.31,5.03,0.17,0.0,0.0,-12.6,-26.99,60.47,-49.99,51.23,1618.98,22.71,105.27,14.56,29.95,39.68,0.0,20.44,1.89,7.67,1.52,1.45,6.36,1.89,10.0,0.0,1,0,0,0
주식회사아크메드라비,101203,2022,5.0,5.56,3.62,5.05,51.94,30.81,262.71,130.73,65.15,-17.32,7.94,18.72,27.57,-13.64,-4.03,-5.62,-2.1,-2.13,-2.98,2.87,0.0,0.0,-0.67,1.65,-1.19,-24.84,-1.12,4431.39,6.47,8.18,9.02,-62.34,-14.43,0.0,15.33,7.29,0.9,0.72,0.72,0.88,3.86,6.0,0.0,1,0,0,0
주식회사아프로투자,83380,2022,-0.81,-0.87,-0.52,-16.5,3807.22,3807.22,182.7,0.83,60.06,10.92,0.2,11.21,35.37,0.94,0.34,10.43,1.89,1.89,57.97,55.22,0.0,0.0,5.87,125.01,-0.77,-7.45,-0.78,433.96,2.83,3.23,89.14,11.7,0.0,0.0,3.02,0.39,0.04,0.03,0.03,0.04,0.39,20.0,0.0,1,0,0,0
주식회사알케이글로벌,76635,2017,0.37,1.0,0.31,0.21,109.96,75.44,502.73,409.47,30.78,6.77,22.21,74.7,16.59,26.09,4.64,2.64,6.18,5.8,3.39,0.46,0.0,0.0,43.85,48.22,32.33,2.35,19.12,1928.25,8.05,48.31,5.56,47.55,88.93,0.0,8.21,3.33,7.55,1.76,1.71,6.53,2.32,16.0,0.0,1,0,0,0
주식회사알피에스,77048,2022,5.81,6.58,2.79,5.31,136.38,87.94,92.31,63.99,42.38,12.1,17.68,45.38,52.0,7.8,4.13,7.25,4.53,4.49,8.25,1.17,0.0,0.0,7.4,-0.84,15.37,-29.65,12.16,4542.54,16.6,35.93,31.61,22.93,44.14,0.0,2.79,1.66,1.13,0.57,0.54,1.03,1.15,19.0,0.0,1,0,0,0
주식회사알피오,98954,2022,-6.26,-18.52,-4.99,-2.24,111.83,74.57,395.29,369.32,26.97,8.82,13.38,83.39,20.19,-18.96,-5.97,-1.95,-1.79,-2.1,-0.77,0.21,0.0,0.0,57.38,63.49,32.54,18.23,-29.91,1828.55,8.26,302.59,3.7,-52.69,-27.33,0.0,6.95,4.37,29.01,3.07,2.73,15.33,3.32,7.0,0.0,1,0,0,0
주식회사앱코,80557,2019,-1.9,-3.16,-1.56,-1.06,124.3,57.77,459.73,288.59,49.41,12.53,22.56,64.09,17.87,31.51,8.15,4.12,11.86,11.78,6.61,0.84,0.0,0.0,53.2,42.77,76.17,20.13,103.02,10178.1,17.8,55.72,12.08,34.14,61.43,0.0,11.46,5.04,6.18,1.98,1.78,5.24,2.71,23.0,0.0,1,0,0,0
주식회사약동산업,51745,2022,-8.13,-13.39,-3.9,-2.75,132.28,132.28,92.03,80.07,29.12,13.46,1.93,55.16,52.08,3.39,1.82,1.23,2.05,2.02,1.41,0.44,0.0,0.0,1.19,-5.78,11.3,62.74,11.09,5593.37,6.26,16.6,4.42,27.75,63.11,0.0,3.63,3.44,3.52,1.49,1.42,3.33,2.49,30.0,0.0,1,0,0,0
