회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본정상영업이익률,매출액정상영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,상장년수,PER,PBR,PCR,PSR,부실판단,도입기,성숙기,성장기,쇠퇴기
(주)노랑풍선,104620,2021,-41.0,-58.0,-21.0,-184.83118711849517,85.0,85.0,102.0,100.0,36.0,-8.0,9.0,42.0,49.0,-21.95,-14.01,-300.9969032277819,-17.22,-17.57,-215.62177082434886,21.95560029252842,-10.77,10.501476739267831,10.5,18.21,5.51,-73.08848900640031,-27.6,988.0,1.0,4.0,34.0,-1041.0,-803.0489231422166,0.08144941580805959,3.88,0.0,0.0,0.0,0.0,0.0,0.0,23.0,5.0,-20.43847241867044,4748.668826003731,-14564.219041938262,70546.02408231505,1.0,1,0,0,0
(주)노블엠앤비,106520,2017,-26.0,-39.0,-13.0,-25.0,70.0,47.0,95.0,71.0,33.0,-11.0,11.0,26.0,51.0,-41.36,-28.62,-43.25,-13.32,-13.36,-26.84,5.38,27.52,-4.763732761857122,-4.76,4.46,-7.56,-5.26,-7.39,-2819.0,-2.0,-8.0,-5.0,0.0,0.0,0.5104032555369411,4.9,3.0,2.0,1.0,1.0,1.0,2.0,24.0,12.0,-1.3300270513976555,836.6270932033699,-2770.6753908058645,839.8115281491073,1.0,1,0,0,0
(주)녹원씨엔아이,65560,2014,-80.0,-137.0,-34.0,-147.0,181.0,152.0,73.0,53.0,25.0,25.0,31.0,55.0,58.0,-52.08,-30.85,-99.17,-25.31,-25.85,-88.16,11.71,30.56,73.1669530210952,73.17,63.12,87.49,-66.41,-6.75,-1680.0,-8.0,-54.0,-33.0,0.0,0.0,0.2312747785279141,3.39,1.0,2.0,0.0,0.0,1.0,1.0,37.0,21.0,-6.951672862453532,3034.490104139713,-4725.540307344385,7577.808669470399,1.0,1,0,0,0
(주)뉴보텍,60260,2022,-6.0,-10.0,-4.0,-5.0,62.0,45.0,209.0,182.0,40.0,-22.0,12.0,37.0,32.0,-18.27,-5.71,-5.87,1.48,1.35,1.55,3.83,29.77,-2.059131035352958,-2.06,-25.63,20.1,-2.1,31.31,9918.0,19.0,36.0,22.0,-27.0,7.0,0.8779161242911985,6.44,3.0,2.0,1.0,1.0,2.0,2.0,34.0,22.0,-14.181818181818182,1814.3903788481985,-58081.38304223947,668.5093313351235,1.0,1,0,0,0
(주)대창솔루션,96350,2014,-6.0,-8.0,-4.0,-7.0,74.0,47.0,136.0,91.0,44.0,-10.0,21.0,29.0,42.0,-17.16,-8.23,-15.56,-4.19,-4.33,-8.43,3.15,-16.330000000000002,-8.387764723813927,-8.39,-14.7,-5.59,-13.21,-2.14,7544.0,5.0,8.0,9.0,-171.0,-93.0,0.5378165592516706,5.98,3.0,1.0,1.0,1.0,1.0,2.0,47.0,17.0,-2.0045045045045047,458.619068599944,-11439.13796394514,361.8113886813289,1.0,1,0,0,0
(주)덱스터스튜디오,206560,2021,8.497778777874942,14.622223472343677,4.0,7.244446944687354,187.0,187.0,52.0,40.0,18.0,23.0,53.0,49.0,66.0,-1.63,-0.74,-1.04,0.02,-0.7,-1.32,-1.0,3.770000000000001,38.145962382031016,38.15,13.11,75.41,63.41,320.78,21349.0,23.0,156.0,50.0,-2.0,20.0,0.4542330994993062,4.26,1.0,5.0,1.0,1.0,1.0,1.0,13.0,9.0,-295.18444581957806,12064.085772595714,-490121.0110042834,17474.866890540146,1.0,1,0,0,0
(주)디오,39840,2014,-3.0,-4.0,-2.0,-4.0,83.0,64.0,200.0,194.0,47.0,-11.0,3.0,54.0,33.0,-9.31,-3.33,-6.02,2.99,2.97,5.48,12.11,10.519999999999998,10.431110937532,10.43,11.28,9.47,-1.94,15.59,23551.0,20.0,54.0,38.0,-16.0,32.0,0.5158026693749377,1.54,1.0,2.0,1.0,1.0,1.0,1.0,36.0,24.0,-76.04166666666667,2186.991277968493,-274130.3455835798,1413.3084333675629,1.0,1,0,0,0
(주)디와이디,219550,2021,-48.0,-70.0,-28.0,-17.0,336.0,277.0,148.0,42.0,41.0,40.0,11.0,56.0,40.0,-249.04485857831753,-94.48164539203651,-293.86,-54.53226845934083,-54.87115728572364,-67.02,7.6,-171.1775757825206,-42.19320744553243,-42.19018107309791,-64.75155598059685,-44.8,-53.77,22.31,-27851.613563605704,-39.124444694468735,-3113.786762675994,-167.3244671966548,0.0,0.0,1.661801635277962,6.07,2.0,24.0,2.0,1.0,3.0,1.0,9.0,9.0,-4.819391634980988,11858.380858398725,-8310.919801019543,2880.944155728785,1.0,1,0,0,0
(주)라이트론,69540,2017,-11.0,-21.0,-5.0,-5.0,156.0,114.0,84.0,77.0,24.0,24.0,14.0,66.0,54.0,-7.42,-5.28,-3.69,0.58,0.18,0.15,2.74,-8.96,23.88439050483532,23.88,20.13,31.72,98.41,-0.69,12040.0,16.0,106.0,15.0,-25.0,3.0,1.0910424101058018,5.96,3.0,7.0,1.0,1.0,4.0,2.0,26.0,20.0,-19.60144927536232,982.1663443665686,-5446.220243265434,489.6172028826398,1.0,1,0,0,0
(주)리더스코스메틱,16100,2020,-15.0,-21.0,-8.0,-12.0,65.0,50.0,114.0,91.0,37.0,-15.0,31.0,27.0,47.0,16.03044536953432,10.067867064205288,7.195378732870569,-8.15,-8.36,-12.47,3.11,80.19747511998794,10.28874830566488,10.29,-25.8,35.16,-2.0,-27.37,5844.0,4.0,13.0,6.0,30.23556205618712,-201.0,0.6393439347326575,10.08,3.0,2.0,1.0,1.0,1.0,2.0,38.0,21.0,-11.758064516129032,968.4064438926504,-12697.027654619584,707.3567075841519,1.0,1,0,0,0
(주)매직마이크로,127160,2018,8.0,11.0,4.0,6.0,60.0,39.0,92.0,85.0,32.0,-18.0,8.0,26.0,52.0,-7.78,-3.75,-5.16,0.47,0.34,0.5,3.85,5.38,50.60190542677291,50.6,78.86,42.56,3.07,-2.73,18423.0,13.0,32.0,23.0,-22.0,34.0,0.5733612183095236,6.71,5.0,1.0,1.0,1.0,1.0,3.0,18.0,9.0,-17.461928934010153,2780.788863693182,-341936.8324216724,2528.359818298773,1.0,1,0,0,0
(주)메디콕스,54180,2022,-17.0,-45.0,-7.0,-38.0,98.0,95.0,75.0,70.0,16.0,-1.0,7.0,39.0,57.0,-65.85,-50.93,-195.35,-11.31,-11.58,-56.52,11.03,-29.7,7.762428979525124,7.76,65.15,-12.02,25.03,3.31,-27851.613563605704,-26.0,-62.0,-131.0,0.0,0.0,0.1975576227888753,11.08,1.0,0.0,0.0,0.0,0.0,1.0,25.0,23.0,-1.6925777331995988,1363.418130856284,-9417.167106803874,3952.0476858431807,1.0,1,0,0,0
(주)메디프론디비티,65650,2017,-78.0,0.0,-4.0,-6.0,2122.6045099508087,2033.7733790877785,6.0,3.0,0.8755553055312659,75.0,433.0,78.0,86.87111286128115,-45.51,-44.68,-54.77,2.11,1.78,2.3,-0.42,-29.46,-5.4375164961278575,-5.44,116.84,-45.687955913090285,59.66,-38.41,-10138.0,-39.0,-3113.786762675994,-48.0,0.0,0.0,0.7967802211779406,19.62,2.0,51.24888938893747,1.0,1.0,2.0,1.0,27.0,21.0,-12.279909706546276,6470.683447178233,-136845.96036008323,7658.797264561797,1.0,1,0,0,0
(주)모비스,250060,2019,-5.0,-22.0,-1.0,-4.0,488.0,487.0,27.0,13.0,5.0,40.0,109.0,50.0,79.0,-2.35,-2.03,-4.61,-4.37,-4.92,-14.21,-0.89,-0.9700000000000002,54.02585895381593,54.03,24.53,102.05,200.36109543946208,10.57,9435.0,22.0,298.0,54.12000225021862,-6.0,7.0,0.2857664526171345,25.913066974196546,1.0,4.0,0.0,0.0,1.0,1.0,8.0,8.0,-227.5,2180.525361903253,-125421.96931529198,6024.9908645205305,1.0,1,0,0,0
(주)무궁화인포메이션테크놀로지,38340,2014,-102.0,-244.0,-36.24888938893747,-34.0,181.0,155.0,59.0,49.0,16.0,25.0,21.0,56.0,63.0,-123.58,-42.49,-47.67,-10.32,-10.9,-12.57,3.34,-37.14999999999999,-35.1761081596341,-35.18,-35.53,-34.73,-73.08848900640031,-6.04,-7094.0,-32.0,-155.0,-29.0,0.0,0.0,1.1025203789241314,4.33,2.0,5.0,1.0,1.0,2.0,2.0,57.0,23.0,-6.394230769230769,5515.014401339224,-13560.060240722103,3145.6177618039023,1.0,1,0,0,0
(주)미래아이앤지,7120,2014,-38.0,-50.0,-8.0,-22.0,89.0,83.0,29.0,17.0,17.0,-1.0,36.0,12.875555305531266,77.0,-66.73,-86.98,-99.45,-14.22,-14.58,-31.88,2.96,-10.320000000000007,46.73185246921485,46.73,-64.75155598059685,180.04,-29.82,-31.56,-10508.0,-22.0,-414.0,-56.0,0.0,0.0,0.3846376387358619,8.12,2.0,4.0,1.0,0.0,1.0,2.0,53.0,25.0,-1.5330520393811533,1542.584771181303,-19083.51551914878,3105.215462000379,1.0,1,0,0,0
(주)미코바이오메드,214610,2022,-28.0,-49.0,-20.0,-70.0,133.0,69.0,226.0,156.0,40.0,16.0,21.0,64.0,31.0,-111.2,-57.19,-241.56,-35.01,-35.43,-160.76,13.12,-91.66,-35.14495268028879,-35.14,-47.57,10.44,-46.83,-18.75,-22818.0,-39.124444694468735,-324.0,-142.0,0.0,0.0,0.2801413532920488,2.53,0.0,2.0,0.0,0.0,1.0,0.0,15.0,4.0,-2.3517883390494854,4981.945309927644,-6274.377766316017,5454.4438485251685,1.0,1,0,0,0
(주)바이오니아,64550,2014,-11.0,-15.0,-6.0,-23.0,86.0,56.0,123.0,103.0,39.0,-6.0,8.0,40.0,45.0,-45.39,-20.01,-75.95,-12.47,-12.59,-48.4,14.37,-21.92,-3.681604625902171,-3.68,-7.71,-0.8,-25.31,-6.96,478.0,1.0,2.0,3.0,-1086.0489793976817,-803.0489231422166,0.2650482026991112,1.23,1.0,1.0,0.0,0.0,0.0,1.0,32.0,19.0,-7.904967602591792,3396.319664137398,-23775.44681519789,5745.379148846648,1.0,1,0,0,0
(주)버킷스튜디오,66410,2020,-13.0,-16.0,-4.0,-13.0,135.0,122.0,48.0,47.0,26.0,11.0,77.0,43.0,68.0,-11.35,-16.99,-22.06,0.87,0.56,1.54,2.39,-0.8699999999999992,34.463803725789695,34.46,97.8,8.13,32.25,-6.65,-1131.0,-2.0,-29.0,-5.0,0.0,0.0,0.3202911146455349,8.04,1.0,6.0,1.0,0.0,1.0,1.0,25.0,21.0,-11.918238993710691,1345.6900842157531,-9149.949628852906,2847.103291252932,1.0,1,0,0,0
(주)비씨월드제약,200780,2021,-3.0,-3.0,-2.0,-5.0,65.0,37.0,129.0,71.0,48.0,-11.0,5.0,20.0,44.0,-1.78,-1.46,-3.62,-0.89,-0.99,-2.9,3.04,0.08,4.620924451782735,4.62,-13.54,10.46,8.85,10.25,22818.0,12.0,21.0,37.0,-10.0,25.0,0.3353813018309064,4.3,3.0,0.0,0.0,0.0,0.0,2.0,44.0,10.0,43.30601092896175,1742.4253058624324,-232953.44114030333,2270.388953931981,1.0,1,0,0,0
(주)비엘,142760,2018,-10.0,-12.0,-6.0,-10.0,88.0,74.0,124.0,115.0,46.0,-6.0,49.0,45.0,45.0,-58.74,-18.41,-18.93,-5.49,-6.48,-7.19,3.07,-39.84,166.52761988801745,166.52534049652928,124.0,379.21780915582633,200.36109543946208,638.0916245948895,5946.0,4.0,20.0,7.0,-274.0,-152.0,0.5614617727154283,17.65,2.0,5.0,1.0,1.0,2.0,2.0,25.0,8.0,-21.55322862129145,2881.2452536190167,-22475.470176846105,2290.195294886051,1.0,1,0,0,0
(주)비엘팜텍,65170,2014,4.0,6.0,2.0,2.0,82.0,54.0,80.0,73.0,31.0,-7.0,13.0,33.0,56.0,-3.5,-2.5,-2.17,3.22,3.01,3.2,1.86,7.539999999999999,0.5237634320365192,0.52,0.99,0.29,21.48,-5.05,8654.0,13.0,37.0,14.0,-15.0,17.0,0.936520417689953,9.25,4.0,3.0,1.0,1.0,1.0,3.0,29.0,22.0,-228.0,1073.2733798564316,-62291.63329369798,637.8830566683071,1.0,1,0,0,0
(주)서울리거,43710,2015,-151.7155710570615,-346.0,-36.24888938893747,-119.0,367.0,365.0,23.0,22.0,11.0,47.0,225.0,65.0,82.0,-38.36,-35.83,-106.15,-35.17,-36.28,-122.73,2.34,43.69,-15.952638480191997,-15.95,-43.25,379.21780915582633,-27.39,-63.14,-5561.0,-32.0,-3113.786762675994,-99.0,0.0,0.0,0.3236613483473045,15.07,0.0,19.0,0.0,0.0,2.0,0.0,33.0,22.0,-8.7467362924282,4258.079485872787,-10365.578749153205,10735.046579937529,1.0,1,0,0,0
(주)세토피아,222810,2018,-8.0,-11.0,-5.0,-18.0,68.0,67.0,142.0,140.0,44.0,-19.0,42.0,40.0,41.0,-77.95,-51.56,-88.93,-13.92,-14.57,-37.31,10.7,-33.910000000000004,162.9629623713326,162.96,177.14120002250218,149.61,-10.76,-1.16,-2509.0,-5.0,-29.0,-19.0,0.0,0.0,0.2693998993150777,4.22,1.0,2.0,1.0,0.0,1.0,1.0,9.0,9.0,-7.070063694267516,5318.969392130881,-29286.53132385302,8169.580360501679,1.0,1,0,0,0
(주)셀루메드,49180,2015,-13.0,-21.0,-6.0,-30.0,94.0,60.0,99.0,95.0,30.0,-3.0,13.0,45.0,50.0,-25.94,-16.78,-67.57,-9.4,-9.42,-40.47,15.67,5.619999999999997,16.47261227075786,16.47,5.86,26.86,-14.49,6.73,-1613.0,-2.0,-19.0,-9.0,0.0,0.0,0.216224605602033,1.24,1.0,2.0,0.0,0.0,0.0,0.0,39.0,22.0,-56.57142857142857,2977.4865254166134,-26610.5154855734,6930.240871864037,1.0,1,0,0,0
(주)셀바스헬스케어,208370,2018,-21.0,-26.0,-14.0,-28.0,81.0,39.0,183.0,135.0,53.0,-9.0,7.0,39.0,35.0,-94.26,-42.22,-99.83,-27.41,-27.47,-65.81,3.97,-90.18,-24.5679944043116,-24.57,-28.25,-22.03,-32.29,-5.26,-4001.0,-10.0,-22.0,-20.0,0.0,0.0,0.4853842072644751,2.57,2.0,1.0,0.0,0.0,1.0,1.0,10.0,10.0,-2.0654265554842848,3098.6472865648084,-6560.871828342467,2259.7894265671466,1.0,1,0,0,0
(주)수성샐바시온,84180,2019,-20.0,-23.0,-13.0,-27.0,65.0,44.0,191.0,130.0,57.0,-15.0,10.0,29.0,34.0,-33.09,-12.4,-22.7,-1.95,-2.14,-4.78,16.38,57.38,-12.444812360498368,-12.44,-49.25,24.97,-3.54,34.74,2250.0,5.0,8.0,10.0,-229.0,-50.0,0.4801046700408396,3.62,1.0,1.0,1.0,0.0,1.0,1.0,42.0,19.0,-3.574338085539715,1420.844768237468,-5551.601457820474,1018.0359976915308,1.0,1,0,0,0
(주)스마트솔루션즈,136510,2020,-52.0,-65.0,-22.0,-47.0,122.0,84.0,72.0,70.0,34.0,9.0,46.0,49.0,58.0,-48.29,-32.23,-76.66,-21.41,-21.86,-54.0,0.73,-27.78,-22.208523823936897,-22.21,-22.58,-21.84,-20.15,-2.59,-1084.0,-4.0,-8.0,-8.0,0.0,0.0,0.4625168243152404,3.84,1.0,1.0,0.0,0.0,1.0,1.0,24.0,13.0,-3.724696356275304,2465.880666330916,-9770.142838869227,3090.873154545544,1.0,1,0,0,0
(주)스튜디오산타클로스엔터테인먼트,204630,2017,-57.0,-93.0,-9.0,-11.0,1029.0,945.0,19.0,8.0,10.0,63.0,286.0,69.0,84.0,-5.29,-4.76,-5.3,0.06,-0.91,-1.1,0.31,-3.9,-4.490758958494818,-4.49,-19.41,63.94,60.0,3.12,4548.0,8.0,62.0,10.0,-54.0,-27.0,0.8511247699894192,24.06,1.0,6.0,1.0,1.0,3.0,1.0,10.0,10.0,-41.11111111111112,2308.4140245444028,-11542.917042000052,2275.69421180364,1.0,1,0,0,0
(주)시너지이노베이션,48870,2014,2.0,2.0,1.0,3.0,56.0,44.0,173.0,167.0,52.0,-27.0,0.8755553055312659,34.0,37.0,-34.28,-18.93,-38.53,-5.4,-6.14,-17.52,5.71,30.480000000000004,-14.999386823492385,-15.0,-22.1,-10.75,-6.24,-16.72,-3402.0,-4.0,-82.0,-11.0,0.0,0.0,0.3809853434224204,6.19,1.0,7.0,0.0,0.0,1.0,1.0,26.0,20.0,-1.046218487394958,654.1366859644219,-12090.440483911383,629.5330404046399,1.0,1,0,0,0
(주)시스웍,269620,2021,-13.0,-21.0,-8.0,-56.0,48.0,38.0,161.0,160.0,37.0,-32.0,18.0,29.0,38.0,-72.93,-59.24,-221.75,-17.18,-18.06,-113.75,21.95560029252842,-77.62,33.94386922514503,33.94,-22.73,92.29,-9.41,198.22,-27737.0,-22.0,-70.0,-156.0,0.0,0.0,0.1386827824317433,3.15,1.0,1.0,0.0,0.0,0.0,0.0,20.0,7.0,-2.90633608815427,2335.6944854927656,-14093.400249004377,6450.898824038655,1.0,1,0,0,0
(주)시티랩스,139050,2017,-4.0,-10.0,-2.0,-2.0,159.0,142.0,80.0,73.0,18.0,24.0,57.0,65.0,56.0,-31.99,-22.64,-18.95,-5.53,-6.42,-6.5,-0.53,-21.82,20.76421133733833,20.76,40.67,-4.13,31.52,284.98,1281.0,2.0,17.0,3.0,-730.0,-742.0,0.9033176274667004,6.59,2.0,9.0,1.0,1.0,3.0,2.0,18.0,13.0,-7.533333333333333,2692.203972886929,-55355.12527836445,1660.0051601026216,1.0,1,0,0,0
(주)쌍방울,102280,2015,-15.0,-20.0,-3.0,-4.0,474.0,338.0,23.0,20.0,14.0,62.0,164.0,79.0,81.0,-0.41,-0.3,-0.36,0.83,0.58,0.73,1.08,1.24,56.7477965829289,56.75,78.8,6.99,2.65,-2.2,22355.0,10.0,69.0,16.0,-2.0,17.0,0.6561897170318975,4.72,2.0,4.0,1.0,1.0,3.0,1.0,16.0,16.0,214.48838835290863,1598.5107494103067,-30869.310862146885,1982.523314077144,1.0,1,0,0,0
(주)썸에이지,208640,2018,-50.0,-53.0,-36.24888938893747,-184.83118711849517,116.0,116.0,352.0,350.0,64.3733340834062,12.0,24.0,90.0,22.0,-151.21,-94.01,-300.9969032277819,-54.53226845934083,-54.87115728572364,-215.62177082434886,-4.875555868085917,-123.72,46.25265862385784,46.25,56.52,-6.2,-0.01,27.12,-12252.0,-30.0,-2561.0,-167.3244671966548,0.0,0.0,0.0864468801040857,6.0,0.0,8.0,0.0,0.0,1.0,0.0,10.0,10.0,-3.510324483775811,9984.325357503356,-3881.710623803341,25537.18986439383,1.0,1,0,0,0
(주)씨씨에스충북방송,66790,2014,-19.0,-26.0,-9.0,-21.0,157.0,155.0,84.0,60.0,34.0,19.0,8.0,51.0,54.0,-11.39,-7.18,-15.99,-3.79,-4.73,-11.49,-0.43,-3.7200000000000006,0.4650149330208452,0.47,24.19,-16.17,-9.13,-6.84,3968.0,6.0,17.0,15.0,-109.0,6.0,0.410459546233724,4.7,1.0,1.0,0.0,0.0,1.0,1.0,27.0,21.0,-11.775,979.4568832827237,-46660.83506623141,1295.363801178179,1.0,1,0,0,0
(주)씨엔플러스,115530,2015,-6.0,-6.0,-4.0,-7.0,46.0,38.0,193.0,157.0,58.0,-29.0,4.0,25.0,34.0,-56.12,-27.34,-44.41,-8.21,-8.3,-16.22,2.57,-15.909999999999997,-10.909224239760572,-10.91,-14.63,-9.6,-18.55,-14.78,-1320.0,-3.0,-4.0,-5.0,0.0,0.0,0.5430720033906221,5.92,2.0,1.0,1.0,1.0,1.0,2.0,21.0,13.0,-6.149012567324955,3865.038745014813,-30473.60329800252,2430.318245076221,1.0,1,0,0,0
(주)아리온테크놀로지,58220,2018,-1.0,-3.0,-1.0,-2.0,130.0,100.0,204.0,69.0,29.0,7.0,26.0,29.0,33.0,-47.35,-23.42,-24.34,-7.75,-8.05,-12.78,8.6,28.770000000000003,12.552392119288406,12.55,-11.0,26.48,-11.32,-63.41128943394184,-1414.0,-2.0,-300.0,-3.0,0.0,0.0,0.5945556091566465,5.88,2.0,5.0,1.0,1.0,1.0,2.0,25.0,19.0,-7.335766423357664,3541.7182876107254,-22324.93116644721,1959.4820600204127,1.0,1,0,0,0
(주)아이엘사이언스,307180,2021,-10.0,-22.0,-8.0,-12.0,84.0,73.0,373.0,329.0,38.0,-11.0,14.0,59.0,21.0,-101.08,-17.89,-15.78,4.65,4.54,5.27,3.13,-49.7,81.39328130450686,81.39,177.13,21.44,177.08,31.21,1090.0,2.0,9.0,2.0,-704.0,-454.0,0.667508589809297,3.65,2.0,2.0,1.0,1.0,2.0,2.0,7.751110611062532,6.0,-13.279678068410464,9606.658103139896,-20806.365007087952,3044.7142736829223,1.0,1,0,0,0
